"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-12-31,183335244,183335244,1,11084300000,932500000,12383200000,1543400000,-1298900000,0,0,4296800000,10317900000,5393400000,-1835700000,-1835700000,-10.26,-10.26,0,325300000,-191300000,-147100000,-13100000,43400000,184400000,2.23,2.73,1.74,None,-0.1706,-7.08,0.78,None,87.15,None,None,None,None,0.47,0.77,0.6042
2017-09-30,182904630,182904630,1,12928600000,1008800000,12407400000,1311300000,521200000,0,0,6208200000,10550000000,147600000,-101500000,-101500000,-0.55,-0.55,0,271700000,-277300000,37400000,31800000,56500000,216400000,2.88,4.04,1.73,-0.7239,-0.0292,2.85,0.87,None,87.15,None,20.2417,0.0403,None,0.14,0.3,0.7693
2017-06-30,190828151,190828151,1,12706200000,926900000,12076000000,1227800000,630200000,0,0,6077900000,10300500000,160500000,-68100000,-68800000,-0.37,-0.37,0.15,221200000,-273700000,25700000,-26800000,24700000,264400000,4.8,5.76,3.85,-0.7563,-0.027,3.3,1.27,None,87.15,None,16.3448,0.0496,None,0.24,-0.23,0.7549
2017-03-31,190494304,190494304,1,12904200000,963100000,12181800000,1301000000,722400000,0,0,6267900000,10246900000,151400000,-111300000,-111900000,-0.89,-0.89,0.15,132500000,-240900000,100800000,-7600000,51500000,243400000,6.75,8.35,5.16,-0.7215,-0.0218,3.79,3.86,None,87,None,14.1845,0.056,None,0.34,-0.58,0.7403
2016-12-31,97288913,97288913,1,11770000000,866900000,11600000000,1254600000,170000000,0,0,5534100000,9680600000,1309100000,-86900000,-87700000,-0.9,-0.9,0.15,302300000,-236400000,-68200000,-2300000,59100000,236400000,8.37,10.1,6.63,None,-0.0319,1.75,3.22,None,86.85,None,56.9447,0.0144,None,0.45,0.68,0.691
2016-09-30,96114653,96114653,1,11823600000,921000000,11573300000,1148400000,250300000,0,0,5578900000,9728400000,1344900000,-66200000,-66800000,-0.72,-0.72,0.15,197600000,-245200000,67400000,19800000,61400000,243000000,9.3,10.46,8.13,-0.5175,-0.0128,2.6,2.72,None,86.7,None,38.867,0.0212,None,0.38,-0.47,0.802
2016-06-30,96264774,96264774,1,11821600000,871700000,11492400000,1120000000,329200000,0,0,5625000000,9650000000,1359600000,1500000,900000,0.01,0.01,0.15,297300000,-250800000,-79500000,-33000000,41600000,246500000,8.34,9.5,7.18,-0.3458,-0.0078,3.42,2.38,None,86.55,None,29.3135,0.0278,None,0.39,0.53,0.7783
2016-03-31,96310037,96310037,1,12611200000,940000000,12273500000,1149600000,337700000,0,0,5670800000,10392900000,1373400000,-231900000,-232400000,-2.52,-2.52,0.15,127200000,-257600000,173700000,43300000,74600000,257600000,6.55,8.35,4.75,-0.6801,-0.0163,3.51,1.96,21.83,86.4,None,30.7755,0.0268,None,0.38,-1.35,0.8177
2015-12-31,91527360,91527360,1,12518100000,875300000,12211700000,1267100000,306400000,0,0,5718300000,10165000000,581300000,140500000,140000000,1.46,1.46,0.66,270300000,250700000,-586900000,-65900000,31300000,310900000,6.64,7.76,5.52,0.0946,0.0021,3.35,3.84,None,86.25,158.8573,33.1756,0.0245,0.0049,0.38,-0.44,0.6908
2015-09-30,101036877,101036877,1,13004400000,1123000000,12830100000,1297700000,174300000,0,0,5926200000,10701000000,1498600000,-7200000,-7700000,-0.08,-0.08,0.15,376300000,-315800000,-10300000,50200000,97200000,300100000,6.25,8.09,4.42,-0.8391,-0.0148,1.73,1.5,None,85.59,None,61.3941,0.0134,None,0.45,0.75,0.8654
2015-06-30,104017719,104017719,1,13204400000,1114200000,12769400000,1217100000,435000000,0,0,5980900000,10683300000,1421100000,-111200000,-113000000,-1.13,-1.13,34.32,136200000,-264200000,101000000,-27000000,47000000,255000000,28.46,50.82,6.1,-0.5945,-0.0137,4.18,30.28,None,85.44,None,24.5593,0.0329,None,0.45,-1.14,0.9155
2015-03-31,100825009,100825009,1,12619100000,1065900000,12524100000,1356300000,95000000,0,0,6063300000,8728100000,1418600000,5300000,4600000,0.05,0.05,1.5,243800000,-192700000,-4900000,46200000,74000000,189300000,48.66,53.94,43.38,-0.1595,-0.0039,0.94,21.72,None,51.12,None,91.8747,0.0075,None,0.45,0.54,0.7859
2014-12-31,602640018,100440003,0.166667,12713400000,1003700000,12488600000,2043000000,224800000,0,0,6116800000,7934200000,1443100000,-77500000,-78800000,-0.13,-0.13,0.25,354700000,-256600000,-174000000,-75900000,27800000,233800000,57.57,65.82,49.32,-0.0892,-0.0031,2.24,12.6,36.9,49.62,None,35.2945,0.0177,None,0.45,1.2,0.4913
2014-09-30,602763234,100460539,0.166667,12831600000,1028100000,12372700000,1403900000,458900000,0,0,6157100000,8568600000,1455500000,8000000,6800000,0.01,0.01,0.25,431000000,-192900000,-189200000,48900000,103700000,193900000,69.39,79.8,58.98,0.2323,0.0119,4.57,11.8,38.55,48.12,3.9619,18.672,0.0358,0.0259,0.45,2.36,0.7323
2014-06-30,602673743,100445624,0.166667,12985700000,1031000000,12395500000,1405300000,590200000,0,0,6220800000,8593100000,1466000000,14000000,12800000,0.03,0.03,0.25,361800000,-196000000,-181000000,-15200000,54800000,205800000,55.38,61.32,49.44,0.2321,0.0135,5.88,7.69,27.97,46.62,3.4347,14.5596,0.0454,0.0295,0.44,1.55,0.7337
2014-03-31,602659992,100443332,0.166667,13239800000,1143400000,12517100000,1427600000,722700000,0,0,6285900000,8617600000,1464900000,16000000,14700000,0.02,0.02,0.25,319800000,-123600000,-174400000,21800000,70000000,153000000,46.89,50.7,43.08,0.2383,0.0152,7.2,5.54,19.54,45.12,2.9785,11.9242,0.0546,0.0337,0.44,1.66,0.8009
2013-12-31,596003559,99333926,0.166667,13444600000,1184800000,12604400000,1445600000,840200000,0,0,6351500000,8622200000,1478000000,118400000,117400000,0.2,0.2,0.25,358700000,-79300000,-304600000,-25200000,48200000,175000000,49.71,52.5,46.92,0.2586,0.0178,8.46,5.78,43.61,43.62,2.5091,10.2621,0.0625,0.0396,0.44,1.85,0.8196
2013-09-30,596073169,99345528,0.166667,13486700000,1084600000,12631900000,1435700000,854800000,0,0,6431400000,8760800000,1503600000,30600000,29600000,0.05,0.05,0.25,448100000,-183100000,-269900000,-4900000,73400000,193800000,48.75,52.5,45,0.1164,0.0086,8.6,5.09,35.33,42.12,5.1839,10.2489,0.0634,0.019,0.44,2.56,0.7555
2013-06-30,592812168,98802028,0.166667,13638900000,1113800000,12692800000,1332400000,946100000,0,0,6503900000,8867900000,1506100000,39700000,38700000,0.06,0.06,0.25,408000000,-210700000,-173400000,23900000,78300000,228700000,49.14,53.28,45,0.1274,0.0102,9.58,4.74,31.5,40.62,4.2954,9.3731,0.0694,0.0226,0.44,1.81,0.8359
2013-03-31,592761683,98793614,0.166667,13723500000,1114600000,12699600000,2104900000,1023900000,0,0,6577800000,8108700000,1500400000,52300000,51200000,0.09,0.09,0.25,304600000,-234500000,-147700000,-77600000,54400000,243500000,53.61,60,47.22,0.1292,0.0112,10.36,4.77,31.91,39.12,3.878,7.9194,0.0746,0.0249,0.44,0.62,0.5295
2012-12-31,590484782,98414130,0.166667,13982000000,1300100000,12877200000,2168400000,1104800000,0,0,6652200000,8114900000,1520900000,-4500000,-5100000,-0.01,-0.01,0.25,534000000,-295800000,-221000000,17200000,132000000,291800000,54.39,61.62,47.16,0.1286,0.012,11.23,4.28,34.87,37.62,3.5812,7.3451,0.079,0.0267,0.44,2.46,0.5996
2012-09-30,588127475,98021246,0.166667,14028400000,1213500000,12783800000,2442400000,1244600000,0,0,6805600000,7848300000,1552400000,53700000,52800000,0.09,0.09,0.25,406800000,-342600000,13100000,77300000,114800000,307300000,60.45,66.24,54.66,0.1116,0.0111,12.7,4.43,32.5,36.12,3.8264,6.3059,0.0887,0.0263,0.42,1.02,0.4968
2012-06-30,587994865,97999144,0.166667,13927200000,1111900000,12589800000,1301700000,1337400000,0,0,6888700000,8794300000,1537800000,54200000,53200000,0.09,0.09,0.25,398000000,-287600000,-137100000,-26700000,37500000,276000000,62.25,70.5,54,0.1356,0.013,13.65,4.28,25.94,34.62,3.3062,6.5757,0.096,0.0324,0.4,1.24,0.8542
2012-03-31,588361183,98060197,0.166667,13966400000,1132800000,12540300000,1280100000,1426100000,0,0,6947200000,8788000000,1545200000,64600000,63500000,0.11,0.11,0.25,438800000,-175700000,-425900000,-162800000,64200000,169100000,71.88,75.3,68.46,0.1868,0.0167,14.54,4.69,35.24,33.12,2.5914,6.1623,0.1021,0.0442,0.38,2.75,0.8849
2011-12-31,586474108,97745684,0.166667,14392100000,1518400000,12894000000,1459500000,1498100000,0,0,6987000000,8936700000,1208900000,-15900000,-15900000,-0.03,-0.03,0.25,309700000,-126300000,9300000,192700000,227000000,192800000,70.44,75.6,65.28,0.1756,0.0142,15.33,7.36,23.02,31.62,3.0793,5.9654,0.1041,0.0402,0.35,1.2,1.0404
2011-09-30,515815356,85969226,0.166667,11419100000,823400000,10596500000,875600000,822600000,0,0,5592500000,7296600000,1023300000,71500000,71500000,0.14,0.14,0.25,333100000,-187600000,-163300000,-17800000,34300000,177500000,72.03,79.5,64.56,0.3199,0.0229,9.57,7.65,21.83,30.12,1.9571,8.8702,0.072,0.0642,0.36,1.81,0.9404
2011-06-30,509964187,84994031,0.166667,11329200000,713200000,10528800000,950900000,800400000,0,0,5646700000,7224500000,1030400000,93200000,93200000,0.18,0.18,0.25,375900000,-173000000,-186600000,16300000,52100000,172100000,77.85,81.42,74.28,0.3596,0.0248,9.42,8.22,24.48,28.62,1.8301,9.0261,0.0706,0.0686,0.36,2.4,0.75
2011-03-31,509971445,84995241,0.166667,11342800000,701200000,10538000000,923400000,804800000,0,0,5696700000,7285300000,1023100000,23500000,23500000,0.05,0.05,0.25,210100000,-165300000,-51300000,-6500000,35800000,159600000,78.27,84.24,72.3,0.3597,0.0242,9.47,7.92,20.07,27.12,1.9042,9.0523,0.071,0.0669,0.36,0.59,0.7594
2010-12-31,504300673,84050112,0.166667,11353700000,687700000,10523100000,985500000,830600000,0,0,5742500000,7186600000,981000000,72400000,72400000,0.14,0.14,0.25,383000000,-735600000,239700000,-112900000,42300000,120500000,79.5,86.4,72.6,0.499,0.0304,9.88,10.42,19.49,25.62,1.5512,8.6523,0.0732,0.0837,0.36,3.12,0.6978
2010-09-30,483698665,80616444,0.166667,10132200000,706800000,9516800000,864600000,615400000,0,0,4870000000,6555800000,965800000,85200000,85200000,0.18,0.18,0.25,252900000,-113600000,-37600000,101700000,155200000,113300000,70.17,78.3,62.04,0.6535,0.0324,7.63,8.8,17.2,24.12,1.4981,10.6529,0.0607,0.09,0.36,1.73,0.8175
2010-06-30,483167049,80527841,0.166667,10087200000,578100000,9445400000,786600000,641800000,0,0,4932600000,6564000000,917300000,79000000,79000000,0.16,0.16,0.25,285100000,-350000000,-461700000,-526600000,53500000,98900000,52.56,69,36.12,0.8256,0.034,7.97,9.94,12,22.62,1.4777,10.2275,0.0636,0.0948,0.36,2.31,0.7349
2010-03-31,456614233,76102372,0.166667,9327400000,1016400000,8924500000,721400000,402900000,0,0,4048400000,6266700000,847900000,74100000,74100000,0.17,0.17,0.25,173500000,-258300000,-398000000,-482800000,580100000,60500000,63.81,68.4,59.22,None,0.0377,5.29,18.66,13.99,21.12,1.387,15.554,0.0432,0.1037,0.36,1.48,1.4089
2009-12-31,456909066,76151511,0.166667,9145400000,1456000000,8884700000,709300000,260700000,0,0,3597700000,6271400000,754400000,75500000,75500000,0.17,0.17,0.25,379400000,-286300000,679800000,772900000,1062900000,91300000,63.81,69.9,57.72,None,0.041,3.42,23.99,13.63,19.62,1.3137,24.056,0.0285,0.1116,0.37,3.78,2.0527
2009-09-30,427390506,71231751,0.166667,7768100000,678600000,7578300000,572100000,189800000,0,0,3271000000,5199000000,734300000,80000000,80000000,0.18,0.18,0.25,242200000,-67300000,-130300000,44600000,290000000,67300000,54.15,62.04,46.26,None,0.0432,2.66,17.41,10.74,18.12,1.2805,27.392,0.0244,0.1131,0.38,2.46,1.1862
2009-06-30,436709299,72784883,0.166667,7789500000,628700000,7563100000,627000000,226400000,0,0,3290100000,5202000000,752900000,90800000,90800000,0.21,0.21,0.25,284200000,-76400000,-274600000,-66800000,245400000,76700000,50.94,54.78,47.1,None,0.0461,3.11,16.59,9.87,16.62,1.1981,22.977,0.0291,0.1193,0.39,2.85,1.0027
2009-03-31,436753317,72792219,0.166667,7905000000,687200000,7681800000,571000000,223200000,0,0,3310300000,5355100000,755000000,88200000,88200000,0.2,0.2,0.25,215000000,-62800000,-136600000,15600000,312200000,62800000,47.28,56.88,37.68,0.9937,0.0471,3.07,13.78,8.47,15.12,1.1644,23.9924,0.0282,0.1211,0.39,2.09,1.2035
2008-12-31,441098355,73516392,0.166667,8009300000,708700000,7757000000,665300000,252300000,0,0,3330400000,5358200000,765800000,81100000,81100000,0.19,0.19,0.25,350600000,-42500000,-123100000,185000000,296600000,98000000,52.5,66.78,38.22,0.8733,0.0512,3.43,7.11,4.4,13.62,1.0706,21.2374,0.0315,0.1301,0.39,3.44,1.0652
2008-09-30,439422952,73237158,0.166667,8060200000,559600000,7519600000,611300000,540600000,0,0,3368700000,5371400000,794100000,105900000,105900000,0.24,0.24,0.25,222900000,-85200000,-85700000,52000000,111600000,86200000,70.92,77.64,64.2,None,0.1128,7.38,10.34,5.91,12.12,0.4863,9.936,0.0671,0.283,0.4,1.87,0.9154
2008-06-30,439610793,73268465,0.166667,8040500000,499700000,7538200000,639500000,502300000,0,0,3381400000,5344700000,799900000,102000000,102000000,0.23,0.23,0.25,291800000,-75200000,-210500000,6100000,59600000,77500000,78.93,90,67.86,None,0.1134,6.86,9.89,6.54,10.62,0.4903,10.6405,0.0625,0.2842,0.4,2.92,0.7814
2008-03-31,447281632,74546938,0.166667,8142900000,498700000,7547900000,615100000,595000000,0,0,3461000000,5342900000,811700000,123700000,123700000,0.28,0.27,0.25,215100000,-30200000,-203400000,-18500000,53500000,55800000,70.5,78.6,62.4,None,0.1152,7.98,7.62,6.03,9.12,0.4931,8.9797,0.0731,0.2861,0.4,2.14,0.8108
2007-12-31,453981267,75663544,0.166667,8210700000,497800000,7510900000,641100000,699800000,0,0,3474900000,5331200000,827800000,583600000,583600000,1.25,1.25,0.25,349900000,-53200000,-292600000,4100000,72000000,97400000,80.34,86.4,74.28,None,None,9.25,13.88,None,7.62,0.514,7.6182,0.0852,0.2813,0.4,3.34,0.7765
2007-09-30,477110143,79518357,0.166667,8297400000,597700000,7836600000,664600000,460800000,0,0,3495400000,5633700000,822600000,117700000,117700000,0.25,0.25,0.25,170300000,-637100000,50900000,-415900000,67900000,90300000,82.68,90.6,74.76,None,None,5.79,13.9,None,6.12,None,12.2259,0.0555,None,None,1.01,0.8993
2007-06-30,477395581,79565930,0.166667,8006400000,949000000,7532900000,681900000,473500000,0,0,3041400000,5439500000,826700000,115900000,115900000,0.24,0.24,0.25,298200000,-92400000,-119600000,86200000,483800000,98000000,89.31,91.8,86.82,None,None,5.95,15.45,None,4.62,None,11.4879,0.0591,None,None,2.52,1.3917
2007-03-31,477230810,79538468,0.166667,7961200000,849200000,7501100000,632800000,460100000,0,0,3053800000,5449100000,783700000,99900000,99900000,0.21,0.21,0.25,215300000,-84400000,-120100000,10800000,397600000,80000000,88.14,93.78,82.5,None,None,5.78,14.91,None,3.12,None,11.8433,0.0578,None,None,1.7,1.342
2006-12-31,476737301,79456216,0.166667,8030700000,876700000,7560900000,684600000,469800000,0,0,3065400000,5456200000,None,None,None,None,None,0,256800000,-128200000,-114800000,13800000,386800000,129600000,74.28,81.78,66.78,None,None,5.91,9.79,None,1.62,None,11.6139,0.0585,None,None,1.6,1.2806
2006-09-30,476778215,79463035,0.166667,8161800000,868300000,7559000000,652500000,602800000,0,0,3112200000,5477400000,771400000,196100000,196100000,0.43,0.43,0.27,None,None,None,None,373000000,0,69.18,69.78,68.58,None,None,7.59,None,None,1.62,None,9.0866,0.0739,None,None,None,1.3307
